timesteps,lambda,eval_return,eval_cost
10000,0.0175,3.3735819684047152,0.85
20000,0.025,2.578820512242231,0.85
30000,0.0325,2.516084138284179,0.85
40000,0.04,2.2011779819829718,0.85
50000,0.0475,2.5266545348094915,0.85
60000,0.055,2.3678570145469138,0.85
70000,0.0625,0.7657938836532965,0.85
80000,0.07,1.6745655900631902,0.85
90000,0.07750000000000001,2.954345962220607,0.85
100000,0.08500000000000002,0.8568836342501932,0.85
110000,0.09250000000000003,1.1795572839806718,0.85
120000,0.10000000000000003,0.8577872682199306,0.85
130000,0.10750000000000004,1.7635369943713854,0.85
140000,0.11500000000000005,2.381500539031743,0.85
150000,0.12250000000000005,3.162913900740727,0.85
160000,0.13000000000000006,0.4478285881517383,0.85
170000,0.13750000000000007,0.6999306889020819,0.85
180000,0.14500000000000007,3.440499646868427,0.85
190000,0.15250000000000008,1.130795975950393,0.85
200000,0.1600000000000001,3.4879016622998007,0.85
210000,0.1675000000000001,3.346978311417375,0.85
220000,0.1750000000000001,3.381189057810795,0.85
230000,0.1825000000000001,3.7205759647702243,0.85
240000,0.1900000000000001,3.7222940214369418,0.85
250000,0.19750000000000012,3.7369069519669873,0.85
260000,0.20500000000000013,3.7394032602385145,0.85
270000,0.21250000000000013,3.7077971464870147,0.85
280000,0.22000000000000014,3.6616743377849312,0.85
290000,0.22750000000000015,3.740078897403619,0.85
300000,0.23500000000000015,3.757674443299443,0.85
